                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.2818,                 1.2582,                 1.6507,                 0.7065,                0.71003,                0.74997,                0.42858,                 1.4692,                 1.2072,                 1.7906,              0.0057925,              0.0057925,              0.0057925
                     87,                   1.29,                 1.2731,                 1.6535,                0.69822,                0.70957,                0.74758,                0.43001,                 1.4572,                 1.2002,                 1.7689,               0.005743,               0.005743,               0.005743
                     88,                 1.2766,                 1.2608,                  1.648,                0.69771,                0.70382,                0.74654,                0.43403,                 1.4503,                 1.2049,                 1.7751,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2825,                 1.2614,                  1.652,                0.72217,                0.71538,                 0.7598,                0.43778,                 1.4479,                 1.1737,                 1.7704,               0.005644,               0.005644,               0.005644
                     90,                 1.2696,                 1.2555,                 1.6435,                0.73622,                0.67501,                0.74799,                0.42641,                 1.4772,                 1.2108,                  1.797,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2787,                  1.246,                 1.6446,                0.72019,                0.71184,                0.75742,                0.44169,                 1.4472,                 1.1735,                 1.7591,               0.005545,               0.005545,               0.005545
                     92,                 1.2754,                 1.2552,                 1.6444,                0.71438,                 0.7298,                0.76042,                0.43863,                 1.4515,                 1.1775,                 1.7637,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2684,                 1.2315,                 1.6347,                0.73257,                0.71601,                0.76415,                0.44483,                 1.4484,                 1.1696,                 1.7666,               0.005446,               0.005446,               0.005446
                     94,                 1.2644,                 1.2416,                 1.6242,                0.72036,                0.72073,                0.76289,                0.44029,                  1.466,                 1.1793,                 1.7735,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2608,                 1.2265,                  1.628,                0.72129,                0.71716,                0.75866,                 0.4389,                 1.4597,                 1.1613,                 1.7712,               0.005347,               0.005347,               0.005347
                     96,                 1.2577,                 1.2315,                 1.6272,                0.72128,                0.71166,                0.75227,                0.43506,                 1.4393,                 1.1931,                  1.771,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2571,                 1.2386,                 1.6391,                0.72551,                0.71821,                0.76616,                0.44692,                 1.4465,                 1.1635,                  1.767,               0.005248,               0.005248,               0.005248
                     98,                 1.2608,                 1.2245,                 1.6261,                0.72115,                0.70385,                0.75434,                0.43983,                 1.4498,                 1.1614,                 1.7641,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2571,                 1.2165,                 1.6259,                0.72069,                0.71789,                0.76968,                0.44597,                 1.4506,                 1.1571,                 1.7657,               0.005149,               0.005149,               0.005149
                    100,                 1.2471,                 1.2254,                 1.6154,                0.73167,                0.72662,                0.77112,                0.44771,                 1.4562,                  1.145,                  1.764,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2564,                  1.209,                 1.6166,                0.74974,                0.72606,                0.77619,                0.45187,                 1.4389,                 1.1345,                 1.7447,                0.00505,                0.00505,                0.00505
                    102,                 1.2469,                 1.2031,                 1.6158,                 0.7342,                0.73245,                 0.7719,                0.45636,                 1.4245,                 1.1374,                 1.7375,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2365,                  1.186,                 1.6045,                0.73576,                0.72142,                0.77011,                0.45172,                 1.4329,                 1.1421,                 1.7457,               0.004951,               0.004951,               0.004951
                    104,                 1.2247,                 1.1742,                 1.5968,                0.77603,                0.70779,                0.77627,                0.45429,                 1.4374,                 1.1386,                 1.7484,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2417,                 1.1836,                 1.6046,                 0.7171,                0.72593,                0.77001,                0.44849,                 1.4474,                 1.1423,                 1.7543,               0.004852,               0.004852,               0.004852
                    106,                  1.233,                 1.1629,                 1.5996,                0.74571,                0.72448,                0.77961,                0.45661,                 1.4373,                 1.1318,                 1.7455,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.2362,                 1.1739,                 1.5974,                  0.737,                0.73009,                0.77559,                0.45263,                 1.4371,                 1.1311,                 1.7503,               0.004753,               0.004753,               0.004753
                    108,                 1.2246,                 1.1701,                 1.5848,                0.73067,                0.71196,                0.77406,                0.45362,                 1.4387,                 1.1263,                 1.7491,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2221,                 1.1611,                 1.5905,                0.74053,                0.73561,                0.78072,                0.46103,                 1.4263,                  1.116,                 1.7519,               0.004654,               0.004654,               0.004654
                    110,                 1.2269,                 1.1647,                  1.589,                0.74649,                0.72073,                0.78279,                0.46294,                 1.4246,                 1.1221,                 1.7469,              0.0046045,              0.0046045,              0.0046045
